,index,PID,Color,Speed,Phase,PupilDilation,rel_PupilDilation
0,6,0,B,0,test,4.824123066907273,-0.9259784882258071
0,7,0,G,0,test,3.1635130349650344,0.20927671760446875
0,8,0,W,0,test,2.5651853260498463,0.08245132374835018
0,15,0,B,200,test,4.487651494962884,-0.8208744328486661
0,16,0,G,200,test,3.0126461834235263,0.33629442110238195
0,17,0,W,200,test,2.4818559426386235,0.15588912773477714
0,24,0,B,350,test,4.492983084712755,-0.8819980041255144
0,25,0,G,350,test,3.5608130755007705,0.36026796150705964
0,26,0,W,350,test,2.539005644560791,0.08087040437054105
0,33,0,B,500,test,4.273212380230881,-1.4313555870943482
0,34,0,G,500,test,3.662531873619632,0.3104467730415976
0,35,0,W,500,test,2.5576719102667744,0.07186814858823132
0,42,1,B,0,test,5.1035667622981595,-0.5826612353816545
0,43,1,G,0,test,3.3250778978864273,-0.18858499366062276
0,44,1,W,0,test,2.5408503378864125,-0.1457166442776776
0,51,1,B,200,test,5.364812196266813,-0.3608966797021793
0,52,1,G,200,test,3.362268513320942,-0.15304311954619054
0,53,1,W,200,test,2.644587897349126,-0.09585801720783582
0,60,1,B,350,test,5.692117336305102,0.0683835284949934
0,61,1,G,350,test,3.44087040036452,-0.17272945512680948
0,62,1,W,350,test,2.665880676518884,-0.08048504548270463
0,69,1,B,500,test,5.737802866,-0.3245559749090914
0,70,1,G,500,test,3.617848951773049,0.24232316151706224
0,71,1,W,500,test,2.721568444357367,-0.11557868380719016
0,78,2,B,0,test,4.174736591903932,-1.1555008410462593
0,79,2,G,0,test,3.301641189686925,0.24773663836051218
0,80,2,W,0,test,2.4361184097460535,0.00937697155270989
0,87,2,B,200,test,4.435400709264224,-1.0703094318982904
0,88,2,G,200,test,3.2956091550933007,0.5817171680308961
0,89,2,W,200,test,2.333741594602115,0.22946126285231294
0,96,2,B,350,test,4.682348415623435,-0.5127173693309715
0,97,2,G,350,test,3.3274233215648854,0.6455503865300827
0,98,2,W,350,test,2.453981391408115,0.22737912743665234
0,105,2,B,500,test,4.459294325874127,-0.49183203243969054
0,106,2,G,500,test,3.415206953797964,0.7658334356965963
0,107,2,W,500,test,2.4820812112112107,0.1847888104977744
0,114,3,B,0,test,5.485405812608696,-0.6191161045015701
0,115,3,G,0,test,3.539882562996032,0.05679152903078677
0,116,3,W,0,test,2.809473058230038,-0.03517856250023321
0,123,3,B,200,test,5.115872713091922,-0.6400949525403519
0,124,3,G,200,test,3.870348839570552,0.3163184233855807
0,125,3,W,200,test,2.8181647681915876,-0.038708349455471414
0,132,3,B,350,test,4.980476120689655,-0.7580095025769094
0,133,3,G,350,test,4.05230435855646,0.32443735505587723
0,134,3,W,350,test,2.776065127264493,0.018827691077094144
0,141,3,B,500,test,5.359790008138352,-0.7368502011363214
0,142,3,G,500,test,4.043850831095406,0.48871917103201445
0,143,3,W,500,test,2.7607847434301522,0.023628363461948965
0,150,4,B,0,test,3.1874695117883842,-1.1543412018374815
0,151,4,G,0,test,2.69254551638796,0.1497407805242883
0,152,4,W,0,test,2.170658095238095,0.018623115889405906
0,159,4,B,200,test,3.3245444110041267,-0.9324717113362992
0,160,4,G,200,test,2.7178352099841523,0.2126187658776888
0,161,4,W,200,test,2.138464738863783,-0.02443138353806429
0,168,4,B,350,test,3.41760382665379,-0.7859393549571521
0,169,4,G,350,test,2.7681390658932714,0.18118443851684551
0,170,4,W,350,test,2.0931800159021408,-0.09545946951209494
0,177,4,B,500,test,3.2675793905372896,-0.9078230016346223
0,178,4,G,500,test,2.7300962963224893,0.19768256060276324
0,179,4,W,500,test,2.1577419151036525,0.02455127852408001
0,186,5,B,0,test,4.6375644982493,-0.3825079638777087
0,187,5,G,0,test,3.1553071203909373,0.2144739605351682
0,188,5,W,0,test,2.429690820473644,-0.03722386352950835
0,195,5,B,200,test,4.383767888709243,-0.5632402917710051
0,196,5,G,200,test,3.1490625087236,0.3182490182022728
0,197,5,W,200,test,2.4511365936015204,-0.013261133135817005
0,204,5,B,350,test,4.500393184123484,-0.37970771093355005
0,205,5,G,350,test,3.2203810628398792,0.2689972804869374
0,206,5,W,350,test,2.4736904842519682,0.08417038020113399
0,213,5,B,500,test,4.867929541459958,-0.14196614146687114
0,214,5,G,500,test,3.5241490636363637,0.4858137623315
0,215,5,W,500,test,2.476551224149433,0.06715323762011405
0,222,6,B,0,test,3.967922764224872,-0.48906947901837095
0,223,6,G,0,test,3.1353788110653324,0.16022042573714712
0,224,6,W,0,test,2.460703868161435,-0.04416515865244541
0,231,6,B,200,test,3.5964967861799213,-0.7288495152057592
0,232,6,G,200,test,2.9532117655768046,0.07522587177835494
0,233,6,W,200,test,2.3486839505370267,-0.02516961717950883
0,240,6,B,350,test,3.706918316999395,-0.6683892865300165
0,241,6,G,350,test,2.884749077975376,0.030868405628358353
0,242,6,W,350,test,2.316059391634981,-0.07477090773310735
0,249,6,B,500,test,3.712913711447493,-0.6614389556141185
0,250,6,G,500,test,2.9367742296650716,0.08722798457473369
0,251,6,W,500,test,2.473438231715653,0.0604675064583291
